track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_image_url,album_image_url,artist_image_url_valid,album_image_url_valid
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,,,False,False
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,https://i.scdn.co/image/ab6761610000e5eb8372345609bebaf1e948ef7f,https://i.scdn.co/image/ab67616d0000b273ac360fe366ce5d4df1a3820d,True,True
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,,True,False
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab67616d0000b273f669b4e7f0327c92909bc762,True,True
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,True,True
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,False,True
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,False,True
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,https://i.scdn.co/image/ab6761610000e5eb6bb5ca52323ab20a1bd5db9c,https://i.scdn.co/image/ab67616d0000b2730483b3a4d787ce510915fe3b,True,True
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,https://i.scdn.co/image/ab6761610000e5ebd5de2a12b757b288bece2799,https://i.scdn.co/image/ab67616d0000b2732b3a29a243fdb1ef369fc8f5,True,True
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,,,False,False
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5,,,False,False
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,https://i.scdn.co/image/ab6761610000e5eb80668ba2b15094d083780ea9,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,True,True
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,https://i.scdn.co/image/ab6761610000e5ebb4ba86c361191d48cbeb4b32,https://i.scdn.co/image/ab67616d0000b273f299936a232e55d07b5dacf6,True,True
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,https://i.scdn.co/image/ab6761610000e5eb93d059c11c6744bf76ada1e3,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,True,True
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b273fbf2c35f9966aeea1abfece8,True,True
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,https://i.scdn.co/image/ab67616d0000b273c3b70a0848d577bf5ae67b49,True,True
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3,https://i.scdn.co/image/ab6761610000e5ebf5b576e445d9bb5862084db2,https://i.scdn.co/image/ab67616d0000b27372d259f38876162373275ed6,True,True
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,80,227,95,24,"1,173",78,,Major,44,14,9,96,0,10,3,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e,True,True
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16,,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,False,True
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4,https://i.scdn.co/image/ab6761610000e5ebcb08296cca5a2d197caabb79,https://i.scdn.co/image/ab67616d0000b273f9638e7ed5b7d42e9c514195,True,True
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4,,,False,False
I Can See You (TaylorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,,True,False
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,582,2,73,135,,Minor,48,44,42,12,2,11,3,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,,True,False
